position;tag;type;Valeur_numérique;Unite;Date;identi;dim;form 
104;Proceeds from disposals of property plant and equipment intangible assets other than goodwill investment property and other noncurrent assets;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
105;Purchase of property plant and equipment intangible assets other than goodwill investment property and other noncurrent assets;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
106;Purchase of property plant and equipment intangible assets other than goodwill investment property and other noncurrent assets;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
107;Cash flows from used in investing activities;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
108;Cash flows from used in investing activities;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
109;Payments of finance lease liabilities classified as financing activities;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
110;Payments of finance lease liabilities classified as financing activities;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
111;Proceeds from other financing liabilities;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
112;Proceeds from other financing liabilities;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
113;Interest paid classified as financing activities;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
114;Interest paid classified as financing activities;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
115;Cash flows from used in financing activities;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
116;Cash flows from used in financing activities;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
117;Increase decrease in cash and cash equivalents before effect of exchange rate changes;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
118;Increase decrease in cash and cash equivalents before effect of exchange rate changes;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
119;Effect of exchange rate changes on cash and cash equivalents;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
120;Effect of exchange rate changes on cash and cash equivalents;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
121;Cash and cash equivalents;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
122;Cash and cash equivalents;Custom;0.0;iso4217:USD;2016-12-31;nn;nn;ixt:numdotdecimal
123;Cash and cash equivalents;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
124;Cash and cash equivalents;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
125;Equity;Custom;0.0;iso4217:USD;2016-12-31;nn;nn;ixt:numdotdecimal
126;Equity;Custom;0.0;iso4217:USD;2016-12-31;nn;nn;ixt:numdotdecimal
127;Equity;Custom;0.0;iso4217:USD;2016-12-31;nn;nn;ixt:numdotdecimal
128;Equity;Custom;0.0;iso4217:USD;2016-12-31;nn;nn;ixt:numdotdecimal
129;Profit loss;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;ifrs:IssuedCapitalMember;ixt:numdotdecimal
130;Profit loss;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;ifrs:OtherReservesMember;ixt:numdotdecimal
131;Profit loss;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;ifrs:RetainedEarningsMember;ixt:numdotdecimal
132;Profit loss;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
133;Other comprehensive income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;ifrs:IssuedCapitalMember;ixt:numdotdecimal
134;Other comprehensive income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;ifrs:OtherReservesMember;ixt:numdotdecimal
135;Other comprehensive income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;ifrs:RetainedEarningsMember;ixt:numdotdecimal
136;Other comprehensive income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
137;Comprehensive income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;ifrs:IssuedCapitalMember;ixt:numdotdecimal
138;Comprehensive income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;ifrs:OtherReservesMember;ixt:numdotdecimal
139;Comprehensive income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;ifrs:RetainedEarningsMember;ixt:numdotdecimal
140;Comprehensive income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
141;Equity;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
142;Equity;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
143;Equity;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
144;Equity;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
145;Profit loss;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs:IssuedCapitalMember;ixt:numdotdecimal
146;Profit loss;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs:OtherReservesMember;ixt:numdotdecimal
147;Profit loss;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs:RetainedEarningsMember;ixt:numdotdecimal
148;Profit loss;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
149;Other comprehensive income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs:IssuedCapitalMember;ixt:numdotdecimal
150;Other comprehensive income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs:OtherReservesMember;ixt:numdotdecimal
151;Other comprehensive income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs:RetainedEarningsMember;ixt:numdotdecimal
152;Other comprehensive income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
153;Comprehensive income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs:IssuedCapitalMember;ixt:numdotdecimal
154;Comprehensive income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs:OtherReservesMember;ixt:numdotdecimal
155;Comprehensive income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs:RetainedEarningsMember;ixt:numdotdecimal
156;Comprehensive income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
157;Equity;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
158;Equity;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
159;Equity;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
160;Equity;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
161;Licence fee income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363srt:EuropeMember;nn;ixt:numdotdecimal
162;Licence fee income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363srt:EuropeMember;nn;ixt:numdotdecimal
163;Licence fee income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363srt:AsiaMember;nn;ixt:numdotdecimal
164;Licence fee income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363srt:AsiaMember;nn;ixt:numdotdecimal
165;Licence fee income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363srt:AmericasMember;nn;ixt:numdotdecimal
166;Licence fee income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363srt:AmericasMember;nn;ixt:numdotdecimal
167;Licence fee income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363gleif:OtherRegionsMember;nn;ixt:numdotdecimal
168;Licence fee income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363gleif:OtherRegionsMember;nn;ixt:numdotdecimal
169;Licence fee income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
170;Licence fee income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
